Temp.,Cuartel,Variedad,Yemas/Dardo,Flores/Yema/Dardo,Flores/Dardo,Daño (%)
2025,REGINA 2018-4,REGINA,7.1,3.45,24.5,15%
2025,REGINA 2018-4,SKEENA,6.0,2.99,17.9,16%
2025,SANTINA 1,SANTINA,6.6,3.02,20.1,14%
2025,SANTINA 2,SANTINA,6.4,2.91,18.6,16%
2025,SANTINA 2020-1,SANTINA,6.3,2.62,16.6,15%
2025,SANTINA 2020-2,SANTINA,6.3,3.24,20.3,10%
2025,SANTINA 2020-3,SANTINA,5.9,2.95,17.3,14%
2025,SANTINA 3,SANTINA,6.3,3.17,19.9,14%
2025,SANTINA 4,SANTINA,6.9,2.64,18.1,16%
2025,SANTINA 5,SANTINA,6.4,3.18,20.3,12%
